collection,location,file_url
Veiligheidsregio,Amsterdam-Amstelland,
Veiligheidsregio,Brabant-Noord,https://www.vrbn.nl/update-coronavirus/actueel/
Veiligheidsregio,Brabant-Zuidoost,
Veiligheidsregio,Drenthe,https://www.vrd.nl/coronavirus-in-drenthe/actuele-maatregelen.html
Veiligheidsregio,Flevoland,https://www.veiligheidsregioflevoland.nl/actueel/corona/
Veiligheidsregio,Fryslân,https://www.veiligheidsregiofryslan.nl/coronavirus/nieuwsberichten/
Veiligheidsregio,Gelderland-Midden,
Veiligheidsregio,Gelderland-Zuid,
Veiligheidsregio,Gooi en Vechtstreek,https://www.vrgooienvechtstreek.nl/categorie/coronanieuws/
Veiligheidsregio,Groningen,
Veiligheidsregio,Haaglanden,
Veiligheidsregio,Hollands-Midden,
Veiligheidsregio,IJsselland,https://www.vrijsselland.nl/nieuwsoverzicht-coronavirus/
Veiligheidsregio,Kennemerland,https://www.vrk.nl/Nieuws/2020/03/31/Update-coronavirus
Veiligheidsregio,Limburg-Noord,https://vrln.nl/nieuws/coronavirus
Veiligheidsregio,Limburg-Zuid,
Veiligheidsregio,Midden- en West-Brabant,
Veiligheidsregio,Noord- en Oost-Gelderland,
Veiligheidsregio,Noord-Holland-Noord,
Veiligheidsregio,Rotterdam-Rijnmond,
Veiligheidsregio,Twente,
Veiligheidsregio,Utrecht,
Veiligheidsregio,Zaanstreek-Waterland,
Veiligheidsregio,Zeeland,https://www.zeelandveilig.nl/meldingen/zeeuwse-maatregelen-coronavirus
Veiligheidsregio,Zuid-Holland-Zuid,https://www.zhzveilig.nl/vrzhz/nieuws-coronavirus/
